"Score","Text"
1,"I bought this item recently, and amazon had a great price on a pack of 12.<br />Boyardee products are usually ok. I wish I had bought a single can of this<br />and tried it before I bought the case.<br /><br />It said ""pasta and meatballs in a tomato sauce"" - I think they forgot to<br />put the tomatoes in the sauce. Didn't taste anything like tomatoes. Wasn't<br />even the right color (not red). Yes, it was definitely before the ""best by"" date.<br /><br />Maybe I was expecting too much, but this was absolutely HORRIBLE.<br />I wish I could truly express my sincere dislike of this product.<br /><br />If I could give this product zero stars, I would."
1,"This product completely dissapointed me. Im doing the lemonade diet and i was looking so foward to this maple syrup sweeting my lemonade but boy was i wrong. as soon as i tried it tasted horrible. you get such a nasty after taste. i would never buy this again"
1,"I am a true lover of hot chocolate and this chocolate is not that great.  The taste is flat and does not taste that chocolaty.  I was truly disaapointed so I shared it with a co-worker and she stated that she did not like it either.  Her exact words were, ""This has a unusual taste...not good""."
1,"After 40 years of taking many brands of Brewers yeast regularly and recommending it to anyone who would listen, I never expected to find a forumlation that is comletely unpalatable. The taste of this brand is so foul, the manufacturer should be ashamed to put their label on it!"
1,"Why, why, why did they change the formula??  Our twins loved this.  Now just like gobble gobble, they wont take it.<br /><br />Company's website with the old and new formula: [..]<br /><br />Only guess is that sweet potato is much more expensive than corn (both the top ingredients).<br /><br />Wrote to happybaby to tell them how disappointed we are"
1,"This is some kind of a joke, right?<br /><br />Is this REALLY a $60 5 pound bag of flour? LOLOLOLOL<br /><br />Only in America!"
1,"I love the lime/chili flavor combo, bought this popcorn thinking it would satisfy my craving. I was wrong. The popcorn has a faint lime/chili taste and smells awful. In addition for the 5 bucks total with shipping, you only get 1 bag. Actually for that I should be thankful because now I don't have to throw out 15 bags of b.o."
1,"As a Philadelphia resident I thought this would be a good item for Halloween distribution so I ordered 2 packs which should have been 24 total dispensers.  When I received the package I received only two dispensers, not the two packs.  The good news is Amazon's coustomer service was excellent.  Once they realized the error they promptly refunded my purchase price.  I was disappointed about not receiving the full order but recognize mistakes are made.  A prompt and courteous response with an good resolution is a positive for me."
1,"I would have to agree wholeheartedly with the other one star reviews. This tiny little packet was way over priced and the vendor charged way too much for shipping. They charged $5.98 for shipping an item that they probably could have sent with a single first class postage stamp affixed.<br /><br />I agree with those individuals who said these tablets taste funny and are definitely not sweet.  After dissolving the tablet, the quarter slice of lemon that I bit into was only slightly sweet... MY son said it tasted like lemonade. It did sort of taste like lemonade - more sour than sweet.  After that the effect pretty much was unnoticeable. I tried it again tonight with some raspberries and sour cherries. I tasted no difference, other than that of the strange lingering after-taste that the tablet leaves behind.<br /><br />Another person mentioned having tasted tea after dissolving a tablet on the tongue. Like that person, I did notice a difference but did not really care for the taste. More like an artificial sweetener than like sugar. My son and I were very disappointed with this purchase.<br /><br />[...]"
1,"saltyness may be the ""norm"" for products like this, but it doesnt mean i have to like it. its probably healthier than a ""slim-jim"", but i still wont order again because it contains lots of milligrams of unhealthy salt, and it tastes extremely salty. better have a gallon of water nearby to go with it,if you want to try eating these.i hope they can try making a lower sodium version of this some day.."
1,"I should have known better than to order canned stir-fry vegetables.  These poor veggies just hang limp on the fork (or spoon, whatever).  They have no flavor whatsoever.  Now I'm stuck with 7 cans of useless, tasteless ""stuff.""<br /><br /><a href=""http://www.amazon.com/gp/product/B005927YHG"">Tiger Tiger Stir Fry Vegetables, 15-Ounce (Pack of 8)</a><br /><br />Marilyn"
1,"I couldn't figure out why it was not working well from the day I received it.  I found a large crack in the side of the pump.  I am going to try to return it but it seems that if it is not sold by amazon I will not be able to exchange the product.  Very disappointed!"
